HR,avg,handedness,height,weightcount
4,0.13,R,73,6
27,0.263,L,71,88
16,0.25,L,69,88
138,0.275,R,70,9
28,0.193,R,74,1
2,0.159,B,72,87
10,0.25,R,72,42
6,0.241,R,73,108
7,0.256,R,69,80
6,0.241,L,71,87
15,0.195,R,73,108
414,0.248,L,74,42
58,0.225,R,70,1
86,0.262,R,72,84
75,0.246,L,72,1
91,0.286,R,73,88
160,0.303,B,71,6
28,0.223,R,72,71
9,0.225,R,71,108
6,0.231,R,72,80
63,0.224,R,74,1
8,0.244,R,72,3
12,0.226,R,74,84
5,0.277,R,69,80
159,0.252,R,75,6
22,0.22,R,71,87
21,0.254,R,71,88
1,0.138,R,74,7
108,0.253,L,73,84
4,0.136,R,76,16
3,0.241,R,74,42
1,0.183,R,75,84
442,0.236,R,78,19
102,0.264,R,71,9
60,0.224,R,72,80
61,0.239,L,71,88
7,0.259,L,74,108
17,0.219,R,70,108
9,0.248,L,72,108
5,0.262,L,75,71
9,0.274,L,70,53
87,0.255,R,71,87
36,0.266,B,69,2
63,0.255,L,72,28
27,0.236,R,72,108
24,0.23,R,73,87
185,0.279,L,73,71
21,0.225,L,73,87
144,0.266,R,74,42
6,0.217,R,71,2
46,0.278,R,69,11
9,0.211,R,72,88
77,0.269,R,70,87
41,0.256,L,79,1
66,0.271,R,70,84
30,0.236,R,74,84
18,0.216,R,72,88
33,0.27,R,66,53
2,0.119,R,74,28
20,0.233,R,72,88
50,0.252,R,72,84
18,0.261,R,71,108
37,0.252,L,74,108
78,0.257,R,73,88
4,0.232,R,69,45
35,0.212,B,70,88
46,0.26,R,72,87
47,0.233,R,70,45
4,0.18,R,72,53
10,0.263,L,74,87
246,0.282,B,76,19
160,0.255,R,71,53
7,0.235,L,70,84
71,0.246,R,70,53
61,0.249,L,73,108
78,0.251,R,72,80
17,0.249,B,72,3
15,0.175,R,71,53
67,0.283,L,69,88
5,0.21,B,71,108
149,0.293,L,71,80
4,0.216,B,72,87
16,0.229,R,70,88
32,0.272,B,71,88
39,0.238,R,71,108
210,0.251,R,72,88
22,0.227,L,73,4
15,0.207,R,76,3
31,0.248,L,72,80
156,0.248,R,75,84
20,0.216,R,74,28
16,0.248,R,68,11
3,0.242,B,69,45
2,0.24,B,73,80
86,0.268,L,73,7
18,0.242,R,72,87
11,0.277,L,72,88
65,0.223,L,73,3
9,0.255,L,71,88
21,0.229,B,73,71
38,0.251,R,73,87
7,0.287,L,70,45
8,0.227,R,72,84
30,0.245,L,70,53
30,0.273,L,70,80
42,0.253,L,71,5
18,0.244,R,73,108
2,0.212,R,72,108
220,0.304,L,73,88
91,0.256,R,75,84
54,0.263,R,70,45
6,0.195,R,71,80
121,0.27,R,73,87
44,0.243,R,69,4
98,0.243,R,73,108
14,0.25,L,71,7
11,0.24,L,72,80
342,0.277,R,72,84
102,0.267,L,73,88
170,0.278,R,71,87
34,0.223,R,75,28
31,0.249,R,70,45
